"table_name","lod1","lod2"
"area_label","administrative"," "
"area_label","junction","exit"
"area_label","junction","interchange"
"area_label","natural"," "
"area_label","other"," "
"landcover","agriculture","arable"
"landcover","agriculture","orchard"
"landcover","agriculture","pastoral"
"landcover","bare","bare"
"landcover","bare","reed"
"landcover","bare","urban"
"landcover","bare","yard"
"landcover","greenery","grass"
"landcover","greenery","scrub"
"landcover","heath","heath"
"landcover","sand","reed"
"landcover","sand","sand"
"landcover","trees","deciduous"
"landcover","trees","mixed"
"landcover","trees","pine"
"landcover","wetland","bare"
"landcover","wetland","reed"
"landcover","wetland","scrub"
"landcover","wetland","tidalflat"
"landuse","cemetery"," "
"landuse","military"," "
"landuse","nature_reserve"," "
"landuse","parking"," "
"landuse","sport"," "
"poi","amenity","hospital"
"poi","distance","hm"
"poi","distance","km"
"poi","height"," "
"poi","historic","castle"
"poi","historic","city_gate"
"poi","historic","monument"
"poi","natural","tree"
"poi","place_of_worship","major"
"poi","place_of_worship","shed"
"poi","place_of_worship","wayside_chapel"
"poi","place_of_worship","wayside_shrine"
"poi","station","bus"
"poi","station","metro"
"poi","station","other"
"poi","station","railway"
"poi","station","tram"
"poi","structure","beach_pole"
"poi","structure","gate"
"poi","structure","marker_pole"
"poi","structure","power_generator"
"poi","structure","powertower"
"poi","structure","windmill"
"poi","tourism","camp_site"
"seamark","beacon","beacon_cardinal"
"seamark","beacon","beacon_isolated_danger"
"seamark","beacon","beacon_lateral"
"seamark","beacon","beacon_special_purpose"
"seamark","buoy","buoy_cardinal"
"seamark","buoy","buoy_lateral"
"seamark","buoy","buoy_safe_water"
"seamark","buoy","buoy_special_purpose"
"seamark","light","light_float"
"seamark","light","light_major"
"seamark","light","light_minor"
"structure","building"," "
"structure","building_addon"," "
"structure","civil_tech"," "
"structure","other_building"," "
"structure","power_generator"," "
"structure","waterholder"," "
"structure_line","barrier","ditch"
"structure_line","barrier","fence"
"structure_line","barrier","gate"
"structure_line","barrier","hedge"
"structure_line","barrier","other"
"structure_line","barrier","wall"
"structure_line","powerline","cable"
"structure_line","powerline","major"
"structure_line","powerline","minor"
"structure_line","powerline","other"
"structure_line","powerline","portal"
"transport","aerialway","cable_car"
"transport","aerialway","chair_lift"
"transport","aerialway","drag_lift"
"transport","aerialway","gondola"
"transport","aerialway","goods"
"transport","aerialway","j-bar"
"transport","aerialway","magic_carpet"
"transport","aerialway","platter"
"transport","aerialway","rope_tow"
"transport","aerialway","station"
"transport","aerialway","t-bar"
"transport","aerialway","yes"
"transport","aerialway","zip_line"
"transport","aeroway","abandoned"
"transport","aeroway","aerodrome_marking"
"transport","aeroway","airstrip"
"transport","aeroway","holding_position"
"transport","aeroway","jet_bridge"
"transport","aeroway","model_runway"
"transport","aeroway","navigationaid"
"transport","aeroway","parking_position"
"transport","aeroway","razed"
"transport","aeroway","runway"
"transport","aeroway","stopway"
"transport","aeroway","taxilane"
"transport","aeroway","taxiway"
"transport","rail","blockpost"
"transport","rail","construction"
"transport","rail","crane"
"transport","rail","crane_rail"
"transport","rail","crossing"
"transport","rail","demolished"
"transport","rail","dismantled"
"transport","rail","disused"
"transport","rail","fuel"
"transport","rail","funicular"
"transport","rail","historic"
"transport","rail","hyperloop"
"transport","rail","light_rail"
"transport","rail","loading_rack"
"transport","rail","loading_ramp"
"transport","rail","miniature"
"transport","rail","model"
"transport","rail","modeltrain"
"transport","rail","monorail"
"transport","rail","narrow_gauge"
"transport","rail","no"
"transport","rail","platform"
"transport","rail","platform_edge"
"transport","rail","platform_marker"
"transport","rail","preserved"
"transport","rail","proposed"
"transport","rail","rail"
"transport","rail","razed"
"transport","rail","route"
"transport","rail","signal_box"
"transport","rail","signal_bridge"
"transport","rail","subway"
"transport","rail","tram"
"transport","rail","tram_stop"
"transport","rail","traverser"
"transport","rail","turntable"
"transport","rail","ventilation_shaft"
"transport","rail","yard"
"transport","rail","yes"
"transport","road","cycleway"
"transport","road","footway"
"transport","road","future"
"transport","road","motorway"
"transport","road","motorway_link"
"transport","road","other"
"transport","road","path"
"transport","road","pedestrian"
"transport","road","primary"
"transport","road","primary_link"
"transport","road","residential"
"transport","road","secondary"
"transport","road","secondary_link"
"transport","road","service"
"transport","road","tertiary"
"transport","road","tertiary_link"
"transport","road","trunk"
"transport","road","trunk_link"
"transport","road","unclassified"
"transport","route","ferry"
"transport","trail","bridleway"
"transport","trail","busway"
"transport","trail","cycleway"
"transport","trail","mtb"
"transport","trail","path"
"transport","trail","steps"
"transport","trail","track"
"transport_area","aeroway","aerodrome"
"transport_area","aeroway","airstrip"
"transport_area","aeroway","apron"
"transport_area","aeroway","deicing_pad"
"transport_area","aeroway","fuel"
"transport_area","aeroway","helipad"
"transport_area","aeroway","heliport"
"transport_area","aeroway","marking"
"transport_area","aeroway","model_runway"
"transport_area","aeroway","paragliding_landing_site"
"transport_area","aeroway","parking_position"
"transport_area","aeroway","runway"
"transport_area","aeroway","signal area"
"transport_area","aeroway","signal_area"
"transport_area","aeroway","signal_square"
"transport_area","aeroway","taxilane"
"transport_area","aeroway","taxiway"
"transport_area","bridge_part","support"
"transport_area","bridge_part","surface"
"transport_area","motorized","baan voor vliegverkeer"
"transport_area","motorized","inrit"
"transport_area","motorized","living_street"
"transport_area","motorized","parkeervlak"
"transport_area","motorized","raceway"
"transport_area","motorized","residential"
"transport_area","motorized","rijbaan autosnelweg"
"transport_area","motorized","rijbaan autoweg"
"transport_area","motorized","rijbaan lokale weg"
"transport_area","motorized","rijbaan regionale weg"
"transport_area","motorized","service"
"transport_area","motorized","track"
"transport_area","other","1"
"transport_area","other","OV-baan"
"transport_area","other","berm"
"transport_area","other","bridleway"
"transport_area","other","construction"
"transport_area","other","corridor"
"transport_area","other","crossing"
"transport_area","other","cycleway"
"transport_area","other","elevator"
"transport_area","other","emergency_access_point"
"transport_area","other","fietspad"
"transport_area","other","island"
"transport_area","other","overweg"
"transport_area","other","passing_place"
"transport_area","other","proposed"
"transport_area","other","ruiterpad"
"transport_area","other","spoorbaan"
"transport_area","other","tertiary"
"transport_area","other","traffic_island"
"transport_area","other","turntable"
"transport_area","other","unclassified"
"transport_area","other","verkeerseiland"
"transport_area","pedestrian","bus_stop"
"transport_area","pedestrian","footway"
"transport_area","pedestrian","path"
"transport_area","pedestrian","pedestrian"
"transport_area","pedestrian","platform"
"transport_area","pedestrian","rest_area"
"transport_area","pedestrian","services"
"transport_area","pedestrian","steps"
"transport_area","pedestrian","voetgangersgebied"
"transport_area","pedestrian","voetpad"
"transport_area","pedestrian","voetpad op trap"
"transport_area","pedestrian","woonerf"
"water","basin"," "
"water","lake"," "
"water","other"," "
"water","river"," "
"water","sea"," "
"water_label","bayaxis","bay"
"water_label","lakeaxis","basin"
"water_label","lakeaxis","reservoir"
"water_label","lakeaxis","water"
"water_label","straitaxis","strait"
"waterway","canal"," "
"waterway","ditch"," "
"waterway","drain"," "
"waterway","other"," "
"waterway","river"," "
"waterway","stream"," "
"waterway","weir"," "
"waterway_label","canal"," "
"waterway_label","ditch"," "
"waterway_label","drain"," "
"waterway_label","fairway"," "
"waterway_label","river"," "
"waterway_label","stream"," "
